experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	101	-1	2	words	1	2	target	2	0	997	4	3361	tiger	40	1	8	4	59	0	0	0	59,000000	59	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	3	3	target	1	1	2520	2	1352	angst	44	2	6	4	17	17	0	0	17,000000	17	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	2	lure	2	1	1778	3	1625	computer	33	0	2	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	2	lure	1	0	1403	3	2024	audi	30	0	9	4	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	1	target	1	1	1154	4	4959	pflaume	3	1	1	1	15	0	0	0	15,000000	15	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	3	3	lure	1	0	1388	3	2849	taube	9	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	2	target	1	1	1165	4	1305	moschee	52	3	7	4	26	57	57	0	46,000000	57	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	2	lure	2	1	1455	2	1014	schwimmen	8	0	4	3	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	2	lure	1	0	1257	4	1845	meter	72	0	3	3	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	1	lure	1	0	1047	4	866	tulpe	7	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	1	target	1	1	882	4	1259	baumwolle	24	4	1	1	5	5	42	42	23,000000	42	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	1	target	2	0	912	4	3080	dackel	46	1	2	2	28	0	0	0	28,000000	28	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	3	3	target	1	1	1398	4	1054	taxi	34	2	6	4	1	1	0	0	1,000000	1	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	1	target	1	1	329	4	2171	stickstoff	48	4	1	1	13	13	54	54	33,000000	54	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	1	lure	2	1	1060	3	1958	rot	49	0	5	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	1	lure	1	0	1192	2	1512	hören	65	0	2	1	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	2	target	1	1	1147	3	1232	hannover	16	1	10	4	3	0	0	0	3,000000	3	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	3	3	lure	2	1	1395	3	1344	sachsen	41	0	3	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	1	target	1	1	1542	3	1508	wassermann	39	4	3	3	28	28	40	40	34,000000	40	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	2	target	1	1	1144	4	1514	halma	57	3	7	4	6	6	64	0	25,000000	64	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	1	lure	2	1	1478	3	3098	oregano	25	0	2	1	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	3	3	target	2	0	1154	2	1278	präposition	66	2	5	4	8	8	0	0	8,000000	8	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	1	target	2	0	1338	2	902	becher	31	1	2	2	34	0	0	0	34,000000	34	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	3	3	lure	2	1	1621	3	1832	schiff	35	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	2	lure	2	1	1444	3	2882	buch	27	0	8	4	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	2	lure	1	0	1940	3	2109	bleifrei	29	0	9	4	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	2	target	1	1	1163	4	1220	nähnadel	70	1	9	4	2	0	0	0	2,000000	2	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	1	1	lure	2	1	1334	3	1305	hering	12	0	3	1	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	1	lure	2	1	971	3	1072	bein	1	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	words	2	2	target	1	1	1157	3	913	merkur	60	3	7	4	7	7	38	0	17,000000	38	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	3	3	target	1	1	1786	4	1359	babycrib_7.bmp	2	3	5	3	27	45	45	0	39,000000	45	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	2	target	1	1	993	3	1127	shoe_13.bmp	54	1	9	4	1	0	0	0	1,000000	1	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	1	lure	2	1	849	3	1260	cake_14.bmp	8	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	2	target	1	1	994	4	1994	circuitboard_13.bmp	17	1	9	4	55	0	0	0	55,000000	55	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	2	lure	2	1	2526	3	2566	sink_11.bmp	56	0	3	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	3	3	lure	2	1	1235	4	1225	trunk_3.bmp	64	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	1	target	1	1	1171	4	717	easteregg_14.bmp	21	3	0	0	6	6	39	0	17,000000	39	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	1	lure	2	1	2045	2	1063	bowlingpin_11.bmp	7	0	3	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	1	target	1	1	2161	2	1166	powerstrip_13.bmp	44	4	3	3	13	13	35	35	24,000000	35	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	3	3	lure	2	1	1785	3	1096	leatherman_2.bmp	38	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	1	target	1	1	1002	4	966	rusdoll_1.bmp	50	4	0	0	10	10	40	40	25,000000	40	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	1	target	1	1	1290	3	1732	rollerskates_7.bmp	48	1	1	1	42	0	0	0	42,000000	42	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	2	target	1	1	902	4	1690	ring_8.bmp	47	3	8	4	25	25	44	0	31,000000	44	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	2	lure	2	1	1364	3	1347	hairdryer_7.bmp	30	0	10	4	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	2	target	1	1	995	3	1260	remote_11.bmp	46	1	9	4	42	0	0	0	42,000000	42	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	1	target	1	1	1221	4	1771	doorknob_17.bmp	19	1	1	1	25	0	0	0	25,000000	25	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	1	lure	2	1	815	4	1152	vase_13.bmp	67	0	5	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	1	lure	1	0	1948	3	1164	carabiner_2.bmp	10	0	2	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	1	1	target	1	1	1177	2	2295	watergun_3.bmp	70	1	1	1	21	0	0	0	21,000000	21	29	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	101	-1	2	brady	2	1	lure	2	1	1220	4	2059	garbagecan_10.bmp	24	0	4	2	0	0	0	0	0,000000	0	29	1	1	1	1	PSYCHOLOGIE
