phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c1expectancy,404,eval_first,c1,17.png,neutral,extinction,0,0,10
c1expectancy,404,eval_first,c1,3.png,negative,extinction,10,0,0
c1expectancy,404,eval_first,c1,4.png,extinction,neutral,1,8,1
c1expectancy,404,eval_first,c1,11.png,neutral,extinction,0,0,10
c1expectancy,404,eval_first,c1,9.png,extinction,positive,0,10,0
c1expectancy,404,eval_first,c1,26.png,positive,extinction,0,10,0
c1expectancy,404,eval_first,c1,23.png,positive,extinction,0,10,0
c1expectancy,404,eval_first,c1,10.png,extinction,negative,5,5,0
c1expectancy,404,eval_first,c1,20.png,negative,extinction,10,0,0
c1expectancy,404,eval_first,c1,21.png,extinction,neutral,0,0,10
c1expectancy,404,eval_first,c1,14.png,extinction,negative,7,3,0
c1expectancy,404,eval_first,c1,8.png,extinction,neutral,0,0,10
c1expectancy,404,eval_first,c1,12.png,negative,extinction,10,0,0
c1expectancy,404,eval_first,c1,1.png,extinction,positive,3,3,4
c1expectancy,404,eval_first,c1,5.png,positive,extinction,8,1,1
c1expectancy,404,eval_first,c1,18.png,extinction,positive,0,10,0
c1expectancy,404,eval_first,c1,24.png,extinction,negative,10,0,0
c1expectancy,404,eval_first,c1,7.png,neutral,extinction,0,0,10
