phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,602,expect_first,global,17.png,extinction,positive,0,5,0
globalexpectancy,602,expect_first,global,20.png,neutral,extinction,4,2,0
globalexpectancy,602,expect_first,global,11.png,positive,extinction,3,0,0
globalexpectancy,602,expect_first,global,9.png,extinction,negative,0,3,0
globalexpectancy,602,expect_first,global,26.png,extinction,neutral,0,2,0
globalexpectancy,602,expect_first,global,21.png,extinction,negative,3,0,0
globalexpectancy,602,expect_first,global,8.png,extinction,positive,0,3,0
globalexpectancy,602,expect_first,global,14.png,negative,extinction,2,0,0
globalexpectancy,602,expect_first,global,4.png,neutral,extinction,2,0,0
globalexpectancy,602,expect_first,global,23.png,extinction,positive,0,0,2
globalexpectancy,602,expect_first,global,1.png,neutral,extinction,0,2,0
globalexpectancy,602,expect_first,global,10.png,negative,extinction,2,0,0
globalexpectancy,602,expect_first,global,18.png,positive,extinction,2,2,0
globalexpectancy,602,expect_first,global,24.png,extinction,negative,3,4,0
globalexpectancy,602,expect_first,global,5.png,extinction,neutral,0,3,0
globalexpectancy,602,expect_first,global,3.png,negative,extinction,2,0,0
globalexpectancy,602,expect_first,global,12.png,extinction,neutral,3,0,0
globalexpectancy,602,expect_first,global,7.png,positive,extinction,3,0,0
