phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,415,expect_first,global,17.png,extinction,neutral,0,0,5
globalexpectancy,415,expect_first,global,23.png,positive,extinction,0,10,0
globalexpectancy,415,expect_first,global,26.png,neutral,extinction,0,0,10
globalexpectancy,415,expect_first,global,4.png,extinction,negative,0,0,0
globalexpectancy,415,expect_first,global,3.png,positive,extinction,3,2,1
globalexpectancy,415,expect_first,global,11.png,positive,extinction,0,0,0
globalexpectancy,415,expect_first,global,14.png,extinction,positive,0,10,0
globalexpectancy,415,expect_first,global,9.png,neutral,extinction,5,5,5
globalexpectancy,415,expect_first,global,1.png,neutral,extinction,2,2,9
globalexpectancy,415,expect_first,global,12.png,negative,extinction,6,1,1
globalexpectancy,415,expect_first,global,8.png,negative,extinction,0,0,0
globalexpectancy,415,expect_first,global,24.png,extinction,negative,6,1,2
globalexpectancy,415,expect_first,global,20.png,extinction,positive,0,0,0
globalexpectancy,415,expect_first,global,7.png,extinction,neutral,0,0,0
globalexpectancy,415,expect_first,global,21.png,extinction,positive,2,2,8
globalexpectancy,415,expect_first,global,18.png,extinction,negative,5,5,5
globalexpectancy,415,expect_first,global,10.png,extinction,neutral,0,0,10
globalexpectancy,415,expect_first,global,5.png,negative,extinction,5,5,5
