phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,375,expect_first,c2,23.png,extinction,neutral,1,1,3
c2expectancy,375,expect_first,c2,11.png,positive,extinction,6,5,4
c2expectancy,375,expect_first,c2,14.png,extinction,negative,4,7,5
c2expectancy,375,expect_first,c2,17.png,extinction,positive,6,5,7
c2expectancy,375,expect_first,c2,21.png,extinction,neutral,4,5,7
c2expectancy,375,expect_first,c2,24.png,positive,extinction,2,6,4
c2expectancy,375,expect_first,c2,3.png,negative,extinction,8,7,5
c2expectancy,375,expect_first,c2,8.png,extinction,positive,9,2,4
c2expectancy,375,expect_first,c2,7.png,extinction,neutral,5,2,6
c2expectancy,375,expect_first,c2,5.png,neutral,extinction,4,5,10
c2expectancy,375,expect_first,c2,20.png,positive,extinction,5,4,9
c2expectancy,375,expect_first,c2,10.png,negative,extinction,4,8,1
c2expectancy,375,expect_first,c2,1.png,neutral,extinction,5,3,9
c2expectancy,375,expect_first,c2,18.png,extinction,negative,3,7,3
c2expectancy,375,expect_first,c2,4.png,extinction,positive,5,1,5
c2expectancy,375,expect_first,c2,26.png,extinction,negative,3,9,7
c2expectancy,375,expect_first,c2,12.png,neutral,extinction,3,5,9
c2expectancy,375,expect_first,c2,9.png,negative,extinction,5,3,8
