phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,405,expect_first,c2,7.png,neutral,extinction,4,7,2
c2expectancy,405,expect_first,c2,14.png,neutral,extinction,5,4,1
c2expectancy,405,expect_first,c2,20.png,negative,extinction,1,0,0
c2expectancy,405,expect_first,c2,3.png,neutral,extinction,6,1,3
c2expectancy,405,expect_first,c2,9.png,extinction,negative,8,1,3
c2expectancy,405,expect_first,c2,23.png,extinction,positive,0,8,1
c2expectancy,405,expect_first,c2,26.png,negative,extinction,2,3,2
c2expectancy,405,expect_first,c2,12.png,extinction,neutral,0,1,1
c2expectancy,405,expect_first,c2,8.png,positive,extinction,3,1,6
c2expectancy,405,expect_first,c2,11.png,positive,extinction,1,2,3
c2expectancy,405,expect_first,c2,17.png,extinction,positive,4,6,0
c2expectancy,405,expect_first,c2,5.png,extinction,neutral,1,3,6
c2expectancy,405,expect_first,c2,10.png,extinction,negative,2,6,3
c2expectancy,405,expect_first,c2,24.png,extinction,positive,0,7,1
c2expectancy,405,expect_first,c2,18.png,positive,extinction,3,4,3
c2expectancy,405,expect_first,c2,1.png,extinction,neutral,2,2,2
c2expectancy,405,expect_first,c2,4.png,extinction,negative,1,5,4
c2expectancy,405,expect_first,c2,21.png,negative,extinction,0,1,1
