phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,499,expect_first,global,26.png,extinction,neutral,0,0,0
globalexpectancy,499,expect_first,global,8.png,extinction,negative,1,2,3
globalexpectancy,499,expect_first,global,12.png,extinction,neutral,3,3,3
globalexpectancy,499,expect_first,global,14.png,negative,extinction,6,6,4
globalexpectancy,499,expect_first,global,7.png,extinction,negative,3,5,2
globalexpectancy,499,expect_first,global,21.png,positive,extinction,2,4,5
globalexpectancy,499,expect_first,global,24.png,extinction,positive,8,3,3
globalexpectancy,499,expect_first,global,4.png,neutral,extinction,4,0,8
globalexpectancy,499,expect_first,global,11.png,neutral,extinction,7,6,3
globalexpectancy,499,expect_first,global,3.png,negative,extinction,2,7,5
globalexpectancy,499,expect_first,global,1.png,neutral,extinction,6,7,4
globalexpectancy,499,expect_first,global,5.png,extinction,positive,3,2,8
globalexpectancy,499,expect_first,global,10.png,extinction,neutral,8,8,8
globalexpectancy,499,expect_first,global,9.png,negative,extinction,8,8,8
globalexpectancy,499,expect_first,global,23.png,extinction,positive,7,6,5
globalexpectancy,499,expect_first,global,20.png,positive,extinction,3,4,3
globalexpectancy,499,expect_first,global,18.png,extinction,negative,3,3,3
globalexpectancy,499,expect_first,global,17.png,positive,extinction,3,3,3
