phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,613,expect_first,global,24.png,extinction,negative,5,5,5
globalexpectancy,613,expect_first,global,5.png,negative,extinction,5,5,5
globalexpectancy,613,expect_first,global,26.png,positive,extinction,5,5,5
globalexpectancy,613,expect_first,global,1.png,neutral,extinction,5,5,5
globalexpectancy,613,expect_first,global,9.png,extinction,positive,5,5,5
globalexpectancy,613,expect_first,global,4.png,extinction,neutral,5,5,5
globalexpectancy,613,expect_first,global,18.png,neutral,extinction,5,5,5
globalexpectancy,613,expect_first,global,14.png,extinction,positive,5,5,5
globalexpectancy,613,expect_first,global,7.png,extinction,neutral,5,5,5
globalexpectancy,613,expect_first,global,20.png,extinction,neutral,5,5,5
globalexpectancy,613,expect_first,global,10.png,extinction,negative,5,5,5
globalexpectancy,613,expect_first,global,8.png,negative,extinction,5,5,5
globalexpectancy,613,expect_first,global,12.png,neutral,extinction,5,5,5
globalexpectancy,613,expect_first,global,17.png,positive,extinction,5,5,5
globalexpectancy,613,expect_first,global,11.png,extinction,positive,5,5,5
globalexpectancy,613,expect_first,global,21.png,extinction,negative,5,5,5
globalexpectancy,613,expect_first,global,23.png,positive,extinction,5,5,5
globalexpectancy,613,expect_first,global,3.png,negative,extinction,5,5,5
