phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,454,eval_first,global,21.png,extinction,positive,1,9,0
globalexpectancy,454,eval_first,global,18.png,neutral,extinction,1,2,8
globalexpectancy,454,eval_first,global,5.png,positive,extinction,1,1,1
globalexpectancy,454,eval_first,global,8.png,extinction,neutral,2,5,1
globalexpectancy,454,eval_first,global,10.png,neutral,extinction,1,0,0
globalexpectancy,454,eval_first,global,24.png,extinction,positive,1,7,4
globalexpectancy,454,eval_first,global,3.png,negative,extinction,1,0,0
globalexpectancy,454,eval_first,global,23.png,extinction,negative,1,4,1
globalexpectancy,454,eval_first,global,26.png,positive,extinction,0,0,0
globalexpectancy,454,eval_first,global,17.png,negative,extinction,1,0,0
globalexpectancy,454,eval_first,global,9.png,extinction,neutral,0,1,4
globalexpectancy,454,eval_first,global,14.png,extinction,neutral,7,2,3
globalexpectancy,454,eval_first,global,12.png,positive,extinction,2,0,0
globalexpectancy,454,eval_first,global,1.png,extinction,negative,1,1,2
globalexpectancy,454,eval_first,global,11.png,neutral,extinction,7,1,1
globalexpectancy,454,eval_first,global,20.png,extinction,negative,0,0,0
globalexpectancy,454,eval_first,global,4.png,negative,extinction,0,5,2
globalexpectancy,454,eval_first,global,7.png,extinction,positive,9,0,0
