phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c1expectancy,425,expect_first,c1,17.png,extinction,negative,9,1,1
c1expectancy,425,expect_first,c1,10.png,negative,extinction,9,1,1
c1expectancy,425,expect_first,c1,1.png,extinction,negative,9,1,1
c1expectancy,425,expect_first,c1,26.png,positive,extinction,2,2,5
c1expectancy,425,expect_first,c1,20.png,neutral,extinction,1,1,9
c1expectancy,425,expect_first,c1,18.png,neutral,extinction,1,1,9
c1expectancy,425,expect_first,c1,21.png,neutral,extinction,1,1,9
c1expectancy,425,expect_first,c1,23.png,positive,extinction,1,9,1
c1expectancy,425,expect_first,c1,11.png,extinction,neutral,1,1,9
c1expectancy,425,expect_first,c1,8.png,extinction,positive,0,0,0
c1expectancy,425,expect_first,c1,4.png,extinction,neutral,5,1,5
c1expectancy,425,expect_first,c1,12.png,extinction,negative,1,1,1
c1expectancy,425,expect_first,c1,5.png,negative,extinction,9,1,1
c1expectancy,425,expect_first,c1,14.png,extinction,positive,1,9,1
c1expectancy,425,expect_first,c1,7.png,positive,extinction,1,9,1
c1expectancy,425,expect_first,c1,24.png,extinction,neutral,1,1,9
c1expectancy,425,expect_first,c1,3.png,extinction,positive,1,9,1
c1expectancy,425,expect_first,c1,9.png,negative,extinction,9,1,1
