phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,537,expect_first,c2,9.png,extinction,negative,2,0,1
c2expectancy,537,expect_first,c2,26.png,extinction,positive,0,0,0
c2expectancy,537,expect_first,c2,4.png,neutral,extinction,0,0,0
c2expectancy,537,expect_first,c2,12.png,negative,extinction,0,1,1
c2expectancy,537,expect_first,c2,18.png,extinction,negative,1,2,1
c2expectancy,537,expect_first,c2,8.png,positive,extinction,1,4,0
c2expectancy,537,expect_first,c2,20.png,neutral,extinction,0,0,0
c2expectancy,537,expect_first,c2,5.png,extinction,positive,2,0,0
c2expectancy,537,expect_first,c2,21.png,positive,extinction,4,3,6
c2expectancy,537,expect_first,c2,11.png,negative,extinction,6,2,1
c2expectancy,537,expect_first,c2,7.png,extinction,neutral,1,7,7
c2expectancy,537,expect_first,c2,3.png,extinction,neutral,2,0,0
c2expectancy,537,expect_first,c2,1.png,extinction,negative,2,4,0
c2expectancy,537,expect_first,c2,17.png,extinction,positive,1,7,2
c2expectancy,537,expect_first,c2,14.png,extinction,neutral,0,0,0
c2expectancy,537,expect_first,c2,10.png,positive,extinction,2,4,0
c2expectancy,537,expect_first,c2,24.png,negative,extinction,0,0,0
c2expectancy,537,expect_first,c2,23.png,neutral,extinction,0,1,2
