phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,483,expect_first,c2,12.png,extinction,negative,4,3,0
c2expectancy,483,expect_first,c2,24.png,extinction,neutral,0,0,10
c2expectancy,483,expect_first,c2,23.png,positive,extinction,0,0,0
c2expectancy,483,expect_first,c2,3.png,extinction,positive,2,7,0
c2expectancy,483,expect_first,c2,9.png,extinction,neutral,3,3,3
c2expectancy,483,expect_first,c2,7.png,negative,extinction,0,0,0
c2expectancy,483,expect_first,c2,8.png,negative,extinction,2,2,2
c2expectancy,483,expect_first,c2,5.png,extinction,positive,7,4,1
c2expectancy,483,expect_first,c2,18.png,extinction,negative,9,3,0
c2expectancy,483,expect_first,c2,1.png,extinction,positive,4,5,1
c2expectancy,483,expect_first,c2,21.png,extinction,negative,8,3,1
c2expectancy,483,expect_first,c2,26.png,neutral,extinction,0,0,0
c2expectancy,483,expect_first,c2,20.png,neutral,extinction,0,0,0
c2expectancy,483,expect_first,c2,17.png,positive,extinction,0,0,0
c2expectancy,483,expect_first,c2,11.png,neutral,extinction,0,0,0
c2expectancy,483,expect_first,c2,4.png,positive,extinction,0,0,0
c2expectancy,483,expect_first,c2,10.png,negative,extinction,0,0,0
c2expectancy,483,expect_first,c2,14.png,extinction,neutral,8,5,2
