phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,540,eval_first,c2,18.png,extinction,positive,1,9,0
c2expectancy,540,eval_first,c2,7.png,extinction,negative,10,3,0
c2expectancy,540,eval_first,c2,17.png,neutral,extinction,10,9,0
c2expectancy,540,eval_first,c2,11.png,extinction,neutral,9,4,1
c2expectancy,540,eval_first,c2,1.png,extinction,negative,4,8,0
c2expectancy,540,eval_first,c2,21.png,positive,extinction,1,4,10
c2expectancy,540,eval_first,c2,10.png,neutral,extinction,0,2,8
c2expectancy,540,eval_first,c2,14.png,extinction,neutral,9,8,2
c2expectancy,540,eval_first,c2,9.png,positive,extinction,1,9,2
c2expectancy,540,eval_first,c2,4.png,extinction,positive,9,7,0
c2expectancy,540,eval_first,c2,26.png,negative,extinction,10,9,0
c2expectancy,540,eval_first,c2,24.png,extinction,neutral,0,0,9
c2expectancy,540,eval_first,c2,5.png,extinction,positive,9,7,4
c2expectancy,540,eval_first,c2,3.png,negative,extinction,10,8,0
c2expectancy,540,eval_first,c2,8.png,neutral,extinction,3,6,8
c2expectancy,540,eval_first,c2,23.png,negative,extinction,0,6,0
c2expectancy,540,eval_first,c2,12.png,positive,extinction,6,8,0
c2expectancy,540,eval_first,c2,20.png,extinction,negative,2,9,0
