phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,393,expect_first,c2,7.png,extinction,positive,0,10,0
c2expectancy,393,expect_first,c2,24.png,negative,extinction,0,0,0
c2expectancy,393,expect_first,c2,8.png,extinction,positive,9,1,0
c2expectancy,393,expect_first,c2,14.png,negative,extinction,1,0,0
c2expectancy,393,expect_first,c2,20.png,extinction,negative,10,0,0
c2expectancy,393,expect_first,c2,21.png,extinction,negative,10,0,0
c2expectancy,393,expect_first,c2,12.png,neutral,extinction,0,0,0
c2expectancy,393,expect_first,c2,26.png,neutral,extinction,0,0,1
c2expectancy,393,expect_first,c2,1.png,positive,extinction,0,0,0
c2expectancy,393,expect_first,c2,3.png,extinction,neutral,0,2,3
c2expectancy,393,expect_first,c2,23.png,neutral,extinction,0,0,1
c2expectancy,393,expect_first,c2,4.png,extinction,neutral,0,0,10
c2expectancy,393,expect_first,c2,10.png,positive,extinction,0,0,0
c2expectancy,393,expect_first,c2,5.png,positive,extinction,0,1,0
c2expectancy,393,expect_first,c2,17.png,extinction,neutral,1,1,2
c2expectancy,393,expect_first,c2,11.png,negative,extinction,0,0,0
c2expectancy,393,expect_first,c2,18.png,extinction,positive,1,10,0
c2expectancy,393,expect_first,c2,9.png,extinction,negative,10,0,0
