phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,394,eval_first,global,5.png,negative,extinction,0,0,0
globalexpectancy,394,eval_first,global,1.png,extinction,neutral,1,6,9
globalexpectancy,394,eval_first,global,9.png,negative,extinction,9,5,0
globalexpectancy,394,eval_first,global,11.png,negative,extinction,10,0,0
globalexpectancy,394,eval_first,global,20.png,positive,extinction,2,3,1
globalexpectancy,394,eval_first,global,10.png,extinction,negative,8,2,0
globalexpectancy,394,eval_first,global,3.png,positive,extinction,8,5,0
globalexpectancy,394,eval_first,global,12.png,extinction,neutral,2,3,3
globalexpectancy,394,eval_first,global,4.png,positive,extinction,1,3,1
globalexpectancy,394,eval_first,global,17.png,extinction,positive,0,5,7
globalexpectancy,394,eval_first,global,23.png,extinction,neutral,0,4,5
globalexpectancy,394,eval_first,global,24.png,neutral,extinction,0,0,10
globalexpectancy,394,eval_first,global,14.png,extinction,negative,9,4,0
globalexpectancy,394,eval_first,global,26.png,neutral,extinction,0,0,10
globalexpectancy,394,eval_first,global,7.png,extinction,negative,8,5,5
globalexpectancy,394,eval_first,global,8.png,extinction,positive,3,0,0
globalexpectancy,394,eval_first,global,18.png,neutral,extinction,4,4,8
globalexpectancy,394,eval_first,global,21.png,extinction,positive,0,10,0
