phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c1expectancy,428,eval_first,c1,26.png,extinction,positive,0,2,0
c1expectancy,428,eval_first,c1,18.png,positive,extinction,0,10,0
c1expectancy,428,eval_first,c1,23.png,neutral,extinction,0,4,6
c1expectancy,428,eval_first,c1,10.png,extinction,positive,0,5,5
c1expectancy,428,eval_first,c1,4.png,positive,extinction,0,3,7
c1expectancy,428,eval_first,c1,14.png,extinction,negative,0,0,0
c1expectancy,428,eval_first,c1,3.png,extinction,negative,1,4,5
c1expectancy,428,eval_first,c1,17.png,extinction,neutral,5,3,3
c1expectancy,428,eval_first,c1,20.png,positive,extinction,0,3,7
c1expectancy,428,eval_first,c1,12.png,neutral,extinction,0,0,0
c1expectancy,428,eval_first,c1,11.png,extinction,neutral,0,0,0
c1expectancy,428,eval_first,c1,24.png,negative,extinction,5,0,5
c1expectancy,428,eval_first,c1,7.png,extinction,positive,0,0,0
c1expectancy,428,eval_first,c1,8.png,negative,extinction,2,3,5
c1expectancy,428,eval_first,c1,1.png,negative,extinction,4,3,3
c1expectancy,428,eval_first,c1,9.png,extinction,negative,3,4,3
c1expectancy,428,eval_first,c1,21.png,extinction,neutral,0,0,0
c1expectancy,428,eval_first,c1,5.png,neutral,extinction,3,3,4
