phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,373,expect_first,global,26.png,extinction,neutral,0,0,10
globalexpectancy,373,expect_first,global,24.png,extinction,negative,10,0,0
globalexpectancy,373,expect_first,global,7.png,positive,extinction,0,10,0
globalexpectancy,373,expect_first,global,18.png,negative,extinction,10,0,0
globalexpectancy,373,expect_first,global,3.png,negative,extinction,10,0,0
globalexpectancy,373,expect_first,global,1.png,neutral,extinction,0,0,10
globalexpectancy,373,expect_first,global,23.png,negative,extinction,10,0,0
globalexpectancy,373,expect_first,global,5.png,extinction,positive,0,10,0
globalexpectancy,373,expect_first,global,12.png,neutral,extinction,0,0,10
globalexpectancy,373,expect_first,global,20.png,extinction,neutral,0,0,10
globalexpectancy,373,expect_first,global,21.png,extinction,positive,4,9,0
globalexpectancy,373,expect_first,global,8.png,extinction,neutral,0,0,10
globalexpectancy,373,expect_first,global,4.png,neutral,extinction,0,0,10
globalexpectancy,373,expect_first,global,17.png,positive,extinction,0,10,0
globalexpectancy,373,expect_first,global,10.png,extinction,positive,0,10,0
globalexpectancy,373,expect_first,global,14.png,extinction,negative,10,0,0
globalexpectancy,373,expect_first,global,11.png,extinction,negative,10,0,0
globalexpectancy,373,expect_first,global,9.png,positive,extinction,0,10,0
