"acc","accuracy","adaptation_target","again","average_response_time","avg_rt","background","bidi","blocknr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_SPACE","correct_instruct_pas_1_and_2","correct_instruct_pas_3_and_4","correct_instruct_pas_5_and_6","correct_instruct_pas_overview","correct_instruction_summary","correct_new_sketchpad","correct_new_sketchpad_1","correct_new_sketchpad_11","correct_new_sketchpad_4","correct_show_subject_nr","count_EC_blocks","count_EC_instruct","count_EC_instruct_1","count_EC_instruct_2","count_EC_instruct_3","count_EC_instruct_intro","count_EC_instruct_summary","count_EC_trial_seq","count_SPACE","count_Willkommen_1","count_adapt_cs_duration","count_adaptation_blocks","count_adaptation_save_script","count_adaptation_trial_seq","count_block_pause","count_def_present_gsync","count_demographics","count_demographics_save_script","count_ec_save_script","count_end_script","count_experiment","count_good_bye","count_instruct_pas_1_and_2","count_instruct_pas_3_and_4","count_instruct_pas_5_and_6","count_instruct_pas_overview","count_instruction_summary","count_new_logger","count_new_sequence","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_11","count_new_sketchpad_2_nw","count_new_sketchpad_4","count_new_sketchpad_5_nw","count_obj_vis_save_script","count_objective_visibility_blocks","count_objective_visibility_trial_seq","count_objvis_form","count_objvis_instructions_1","count_pas_form","count_pause","count_pause_after_wahrnehmungsphase","count_rating_blank","count_rating_block","count_rating_form","count_rating_instructions","count_rating_save_script","count_rating_sequence","count_repeat","count_set_duration","count_setup","count_show_subject_nr","count_singletrial","count_valence_focus","cs_filename","datetime","description","disable_garbage_collection","eval_rating","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","id_opt_1","id_opt_2","id_opt_3","id_opt_4","keyboard_backend","live_row","live_row_adaptation_blocks","logfile","mouse_backend","not_again","opensesame_codename","opensesame_version","opt_1","opt_2","opt_3","opt_4","pause","phase","postmask_filename","premask_filename","rather_neg","rather_pos","repeat_cycle","response","response_EC_instruct_1","response_EC_instruct_2","response_EC_instruct_3","response_EC_instruct_intro","response_EC_instruct_summary","response_SPACE","response_block_pause","response_good_bye","response_instruct_pas_1_and_2","response_instruct_pas_3_and_4","response_instruct_pas_5_and_6","response_instruct_pas_overview","response_instruction_summary","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_11","response_new_sketchpad_2_nw","response_new_sketchpad_4","response_new_sketchpad_5_nw","response_objvis_instructions_1","response_pause","response_pause_after_wahrnehmungsphase","response_rating_instructions","response_show_subject_nr","response_time","response_time_EC_instruct_1","response_time_EC_instruct_2","response_time_EC_instruct_3","response_time_EC_instruct_intro","response_time_EC_instruct_summary","response_time_SPACE","response_time_block_pause","response_time_good_bye","response_time_instruct_pas_1_and_2","response_time_instruct_pas_3_and_4","response_time_instruct_pas_5_and_6","response_time_instruct_pas_overview","response_time_instruction_summary","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_11","response_time_new_sketchpad_2_nw","response_time_new_sketchpad_4","response_time_new_sketchpad_5_nw","response_time_objvis_instructions_1","response_time_pause","response_time_pause_after_wahrnehmungsphase","response_time_rating_instructions","response_time_show_subject_nr","round_decimals","sampler_backend","sicher1_resp","sicher2_resp","sicher3_resp","sicher4_resp","sicher5_resp","sicher6_resp","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_EC_blocks","time_EC_instruct","time_EC_instruct_1","time_EC_instruct_2","time_EC_instruct_3","time_EC_instruct_intro","time_EC_instruct_summary","time_EC_trial_seq","time_SPACE","time_Willkommen_1","time_adapt_cs_duration","time_adaptation_blocks","time_adaptation_save_script","time_adaptation_trial_seq","time_block_pause","time_def_present_gsync","time_demographics","time_demographics_save_script","time_ec_save_script","time_end_script","time_experiment","time_good_bye","time_instruct_pas_1_and_2","time_instruct_pas_3_and_4","time_instruct_pas_5_and_6","time_instruct_pas_overview","time_instruction_summary","time_new_logger","time_new_sequence","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_11","time_new_sketchpad_2_nw","time_new_sketchpad_4","time_new_sketchpad_5_nw","time_obj_vis_save_script","time_objective_visibility_blocks","time_objective_visibility_trial_seq","time_objvis_form","time_objvis_instructions_1","time_pas_form","time_pause","time_pause_after_wahrnehmungsphase","time_rating_blank","time_rating_block","time_rating_form","time_rating_instructions","time_rating_save_script","time_rating_sequence","time_repeat","time_set_duration","time_setup","time_show_subject_nr","time_singletrial","time_valence_focus","title","total_correct","total_response_time","total_responses","transparent_variables","trialnr","uniform_coordinates","us_filename","us_valence","width"
"undefined","undefined","pas_3","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","0","NA","0","NA","NA","0","0","0","0","NA","0","NA","0","NA","NA","0","0","0","0","0","NA","N   E   H   Z","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","0","0","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","229571.1365","222451.8448","229571.2059","222886.399","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","229571.4112","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","224687.4891","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","222886.6217","9859.03369996","9907.58889995","222886.6449","NA","ecodap3","0","127912.1359","1","no","1","no","Bark 5.jpg","neutral","1920"
"undefined","undefined","pas_5","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","1","0","1","1","1","0","0","0","NA","0","0","0","2","2","2","0","0","1","0","0","0","0","0","0","0","NA","0","NA","NA","0","1","0","0","NA","0","NA","0","NA","NA","0","1","0","0","1","NA","G   E   M   T","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich habe nur kurz etwas zwischen den Zufallsmustern aufblitzen sehen.","yes","1080","NA","NA","NA","NA","psycho","1","1","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","no","yes","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","234063.5391","222451.8448","234063.6131","229882.0554","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","234063.7969","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","231753.1166","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","229882.2696","9859.03369996","9907.58889995","229882.2935","NA","ecodap3","0","127912.1359","1","no","2","no","Rocks 3.jpg","neutral","1920"
"undefined","undefined","pas_5","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","2","0","2","2","2","0","0","0","NA","0","0","0","2","2","2","0","0","2","0","0","0","0","0","0","0","NA","0","NA","NA","0","2","0","0","NA","0","NA","0","NA","NA","0","2","0","0","2","NA","T   E   L   G","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","2","2","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","238865.8574","222451.8448","238865.9166","234323.6527","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","238866.1056","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","236104.7145","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","234323.8691","9859.03369996","9907.58889995","234323.8925","NA","ecodap3","0","127912.1359","1","no","3","no","Prison 1.jpg","neutral","1920"
"undefined","undefined","pas_3","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","3","0","3","3","3","0","0","0","NA","0","0","0","2","2","2","0","0","3","0","0","0","0","0","0","0","NA","0","NA","NA","0","3","0","0","NA","0","NA","0","NA","NA","0","3","0","0","3","NA","Z   U   H   L","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","3","3","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","245152.0842","222451.8448","245152.1424","239112.1117","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","245152.3282","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","240969.1837","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","239112.3275","9859.03369996","9907.58889995","239112.3518","NA","ecodap3","0","127912.1359","1","no","4","no","Alcohol 3.jpg","neutral","1920"
"undefined","undefined","pas_5","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","4","0","4","4","4","0","0","0","NA","0","0","0","2","2","2","0","0","4","0","0","0","0","0","0","0","NA","0","NA","NA","0","4","0","0","NA","0","NA","0","NA","NA","0","4","0","0","4","NA","K   N   E   G","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","4","4","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","251308.8822","222451.8448","251308.9433","245477.8704","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","251309.1305","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","247245.9202","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","245478.0853","9859.03369996","9907.58889995","245478.1094","NA","ecodap3","0","127912.1359","1","no","5","no","Cups 2.jpg","neutral","1920"
"undefined","undefined","pas_3","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","5","0","5","5","5","0","0","0","NA","0","0","0","2","2","2","0","0","5","0","0","0","0","0","0","0","NA","0","NA","NA","0","5","0","0","NA","0","NA","0","NA","NA","0","5","0","0","5","NA","T   U   L   M","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich habe nur kurz etwas zwischen den Zufallsmustern aufblitzen sehen.","yes","1080","NA","NA","NA","NA","psycho","5","5","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","no","yes","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","254760.3033","222451.8448","254760.3699","251569.4789","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","254760.5565","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","253338.5925","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","251569.7014","9859.03369996","9907.58889995","251569.7253","NA","ecodap3","0","127912.1359","1","no","6","no","Neutral face 1.jpg","neutral","1920"
"undefined","undefined","pas_3","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","6","0","6","6","6","0","0","0","NA","0","0","0","2","2","2","0","0","6","0","0","0","0","0","0","0","NA","0","NA","NA","0","6","0","0","NA","0","NA","0","NA","NA","0","6","0","0","6","NA","G   U   H   M","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","6","6","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","258695.0178","222451.8448","258695.0748","255003.8688","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","258695.2642","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","256804.9483","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","255004.0843","9859.03369996","9907.58889995","255004.1081","NA","ecodap3","0","127912.1359","1","no","7","no","Dirt 3.jpg","neutral","1920"
"undefined","undefined","pas_5","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","7","0","7","7","7","0","0","0","NA","0","0","0","2","2","2","0","0","7","0","0","0","0","0","0","0","NA","0","NA","NA","0","7","0","0","NA","0","NA","0","NA","NA","0","7","0","0","7","NA","K   U   L   G","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte mehr als einen Buchstaben recht gut erkennen.","yes","1080","NA","NA","NA","NA","psycho","7","7","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","no","no","no","no","yes","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","263087.5957","222451.8448","263087.6975","258939.6498","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","263087.8865","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","260686.7483","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","258939.9081","9859.03369996","9907.58889995","258939.9324","NA","ecodap3","0","127912.1359","1","no","8","no","Roofing 3.jpg","neutral","1920"
"undefined","undefined","pas_5","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","8","0","8","8","8","0","0","0","NA","0","0","0","2","2","2","0","0","8","0","0","0","0","0","0","0","NA","0","NA","NA","0","8","0","0","NA","0","NA","0","NA","NA","0","8","0","0","8","NA","G   E   M   T","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte mehr als einen Buchstaben recht gut erkennen.","yes","1080","NA","NA","NA","NA","psycho","8","8","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","no","no","no","no","yes","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","266520.2452","222451.8448","266520.3306","263356.9804","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","266520.5151","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","265104.0494","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","263357.1957","9859.03369996","9907.58889995","263357.2196","NA","ecodap3","0","127912.1359","1","no","9","no","Neutral face 4.jpg","neutral","1920"
"undefined","undefined","pas_3","no","127912.1359","127912.1359","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","9","0","9","9","9","0","0","0","NA","0","0","0","2","2","2","0","0","9","0","0","0","0","0","0","0","NA","0","NA","NA","0","9","0","0","NA","0","NA","0","NA","NA","0","9","0","0","9","NA","G   U   H   M","12/06/21 14:47:44","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","9","9","C:\exp\ecodap3\logs\7.log","psycho","yes","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","5407.36209997","NA","NA","NA","NA","NA","127912.1359","NA","NA","9759.40169999","9552.63500003","6143.56460003","17185.4124","5407.36209997","16079.4203","3456.15669998","4313.91739997","NA","7258.33729998","NA","NA","NA","NA","NA","1663.97749999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","7","odd","legacy","NA","NA","NA","NA","NA","NA","NA","NA","11603.269","11602.5904","269677.0844","222451.8448","269677.143","266756.8775","NA","9859.00279996","NA","NA","NA","NA","9858.12599998","NA","183635.9278","193410.6714","202979.7307","166417.9267","217043.8999","269677.3326","213467.7843","143035.9674","139547.238","209153.3728","NA","159129.0264","NA","NA","NA","NA","NA","NA","268581.9386","NA","NA","NA","NA","NA","NA","NA","NA","213467.8339","266757.0909","9859.03369996","9907.58889995","266757.1154","NA","ecodap3","0","127912.1359","1","no","10","no","Toilet 3.jpg","neutral","1920"
