subjnr;adaptation_target;us_valence;eval_rating;cs_filename
subjnr;adaptation_target;us_valence;eval_rating;cs_filename
3;pas_3;positive;5;R   O   B   F
3;pas_5;negative;9;N   U   G   Z
3;pas_5;positive;19;H   E   L   K
3;pas_3;negative;15;W   A   P   S
3;pas_5;negative;8;T   U   G   Z
3;pas_5;negative;19;Z   U   N   T
3;pas_3;negative;12;V   A   S   P
3;pas_3;negative;9;S   P   A   V
3;pas_5;positive;19;K   L   E   H
3;pas_5;positive;18;K   E   L   M
3;pas_3;positive;4;J   O   B   F
3;pas_5;positive;16;H   E   M   K
3;pas_5;positive;17;K   L   E   M
3;pas_3;positive;5;B   O   R   F
3;pas_3;negative;9;P   S   A   V
3;pas_5;negative;8;G   U   N   T
3;pas_5;negative;9;G   U   T   Z
3;pas_3;positive;7;B   J   O   F
3;pas_3;negative;9;S   W   A   P
3;pas_5;negative;11;T   U   N   G
3;pas_5;negative;12;Z   U   N   G
3;pas_3;positive;8;F   R   O   B
3;pas_3;positive;7;J   O   R   F
3;pas_5;positive;12;M   E   H   K
3;pas_3;positive;8;F   O   R   B
3;pas_3;negative;9;S   A   P   V
3;pas_3;negative;11;P   A   W   S
3;pas_3;positive;8;J   O   R   B
3;pas_5;negative;12;G   N   U   Z
3;pas_3;negative;11;V   A   P   S
3;pas_5;positive;15;L   E   M   K
3;pas_5;positive;16;K   E   H   M
