subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
39,gen,8,positive,14,M   E   H   K
39,ec,5,positive,7,K   E   C   H
39,ec,8,positive,6,C   E   L   K
39,ec,1,positive,6,M   E   C   H
39,gen,7,negative,6,Z   U   N   G
39,ec_control,2,negative,6,P   Y   W   S
39,gen,7,positive,6,K   E   H   M
39,ec,3,negative,13,G   U   N   D
39,ec,6,negative,11,Z   U   N   T
39,gen,3,positive,12,L   E   M   K
39,ec,7,negative,11,Z   U   N   D
39,gen,6,negative,9,N   U   G   Z
39,ec_control,1,negative,9,V   A   S   P
39,ec_control,1,positive,13,J   O   R   F
39,gen_control,3,negative,8,W   A   P   S
39,gen,8,negative,12,G   U   T   Z
39,ec_control,2,positive,8,F   R   I   B
39,gen,6,positive,8,C   H   E   L
39,ec,3,positive,12,K   L   E   H
39,gen,4,negative,7,T   U   N   G
39,gen_control,4,positive,12,B   I   R   F
39,gen_control,2,negative,6,S   W   Y   P
39,ec,8,negative,8,D   U   N   T
39,gen,2,negative,12,G   U   N   T
39,ec,4,negative,11,G   N   U   D
39,ec,2,negative,10,D   U   G   T
39,gen_control,2,positive,7,B   J   O   F
39,gen,5,negative,8,D   U   T   Z
39,gen_control,3,positive,6,J   I   B   F
39,gen_control,4,negative,8,P   S   A   V
39,gen_control,1,positive,13,F   O   R   B
39,gen,1,positive,12,C   H   E   K
39,ec,6,positive,12,K   L   E   M
39,gen,5,positive,8,C   E   L   M
39,ec,2,positive,12,H   E   L   K
39,gen,2,positive,7,C   L   E   K
39,ec,4,positive,12,H   E   M   K
39,ec,1,negative,8,T   U   G   Z
39,gen,4,positive,12,K   E   L   M
39,ec,5,negative,8,D   N   U   G
39,ec,7,positive,7,C   L   E   M
39,gen_control,1,negative,6,S   P   Y   V
39,gen,1,negative,10,Z   U   D   T
39,gen,3,negative,6,T   N   U   D
