subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
72,gen_control,3,positive,8,W   A   P   S
72,gen_control,2,negative,10,B   J   O   F
72,gen_control,4,positive,4,P   S   A   V
72,gen,4,positive,14,H   E   L   K
72,ec,7,positive,9,K   E   C   H
72,ec,5,positive,8,K   L   E   M
72,ec_control,2,positive,5,P   Y   W   S
72,gen_control,2,positive,5,S   W   Y   P
72,ec_control,1,negative,14,J   O   R   F
72,gen,2,negative,7,G   U   N   T
72,ec,7,negative,5,D   U   G   T
72,ec,5,negative,8,D   U   N   T
72,gen,6,positive,5,C   H   E   K
72,gen,6,negative,5,T   U   N   G
72,ec_control,2,negative,5,F   R   I   B
72,gen,8,negative,5,Z   U   N   D
72,gen,8,positive,5,K   E   H   M
72,gen,7,positive,5,C   L   E   M
72,ec_control,1,positive,5,V   A   S   P
72,gen,1,negative,7,D   U   T   Z
72,gen_control,4,negative,12,B   I   R   F
72,gen_control,3,negative,7,J   I   B   F
72,gen_control,1,positive,4,S   P   Y   V
72,ec,2,negative,5,Z   U   N   G
72,ec,1,negative,2,T   N   U   D
72,gen,3,positive,4,C   E   L   K
72,ec,4,negative,5,Z   U   N   T
72,gen,5,negative,6,G   N   U   D
72,gen,3,negative,10,G   U   N   D
72,ec,3,negative,8,G   U   T   Z
72,gen,1,positive,5,M   E   H   K
72,gen,4,negative,3,T   U   G   Z
72,gen,5,positive,11,M   E   C   H
72,ec,8,negative,5,D   N   U   G
72,ec,2,positive,7,C   E   L   M
72,ec,6,positive,8,H   E   M   K
72,ec,8,positive,6,K   L   E   H
72,gen,7,negative,5,Z   U   D   T
72,gen,2,positive,7,L   E   M   K
72,ec,1,positive,7,C   H   E   L
72,ec,4,positive,4,C   L   E   K
72,ec,3,positive,13,K   E   L   M
72,gen_control,1,negative,13,F   O   R   B
72,ec,6,negative,5,N   U   G   Z
