subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
38,gen_control,2,negative,8,B   J   O   F
38,gen_control,1,positive,6,S   P   Y   V
38,ec,1,positive,5,D   N   U   G
38,ec_control,2,negative,4,F   R   I   B
38,ec,4,positive,7,Z   U   N   D
38,gen,3,positive,6,N   U   G   Z
38,ec,6,negative,8,C   E   L   M
38,ec,5,positive,9,T   U   N   G
38,ec,2,negative,10,C   H   E   K
38,ec_control,2,positive,6,P   Y   W   S
38,ec,5,negative,8,H   E   L   K
38,gen,4,positive,7,Z   U   N   T
38,gen,5,positive,6,T   N   U   D
38,ec,3,negative,12,L   E   M   K
38,gen,1,negative,12,K   E   H   M
38,gen,7,positive,8,G   U   N   T
38,gen,2,negative,9,H   E   M   K
38,gen,6,positive,5,T   U   G   Z
38,gen,2,positive,7,D   U   N   T
38,ec,8,negative,11,M   E   H   K
38,gen_control,3,negative,9,J   I   B   F
38,gen,4,negative,12,K   E   C   H
38,ec,7,negative,10,C   L   E   K
38,ec,4,negative,9,M   E   C   H
38,ec_control,1,positive,7,V   A   S   P
38,ec,1,negative,8,C   H   E   L
38,ec_control,1,negative,5,J   O   R   F
38,gen,8,negative,5,K   L   E   M
38,gen,7,negative,5,K   E   L   M
38,ec,8,positive,6,D   U   T   Z
38,gen,6,negative,5,C   E   L   K
38,gen,5,negative,8,K   L   E   H
38,gen_control,4,positive,4,P   S   A   V
38,ec,6,positive,5,G   U   T   Z
38,gen,8,positive,6,D   U   G   T
38,gen,1,positive,9,G   U   N   D
38,gen_control,1,negative,8,F   O   R   B
38,gen,3,negative,5,C   L   E   M
38,ec,2,positive,4,Z   U   D   T
38,ec,3,positive,3,Z   U   N   G
38,gen_control,4,negative,3,B   I   R   F
38,ec,7,positive,9,G   N   U   D
38,gen_control,3,positive,8,W   A   P   S
38,gen_control,2,positive,4,S   W   Y   P
