subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
74,gen_control,3,negative,9,T   V   Y   Z
74,gen,7,negative,5,B   L   O   R
74,gen,4,positive,11,S   N   A   W
74,ec,7,positive,4,W   A   N   S
74,gen_control,4,negative,6,H   Y   T   V
74,gen,1,negative,5,B   R   O   F
74,ec,3,negative,9,B   O   R   F
74,ec,2,positive,11,P   A   N   S
74,ec_control,1,positive,11,G   M   U   X
74,gen,5,positive,8,S   P   A   W
74,ec,4,negative,6,B   O   R   L
74,gen_control,1,positive,6,K   U   M   X
74,gen,8,positive,3,D   A   P   S
74,ec,1,negative,3,J   O   R   F
74,ec,5,negative,5,J   O   L   F
74,gen,1,positive,4,S   W   A   D
74,gen,3,positive,10,S   N   A   D
74,ec,5,positive,7,D   W   A   P
74,gen,7,positive,8,W   A   P   S
74,ec_control,2,positive,11,K   I   G   M
74,ec,1,positive,9,S   W   A   P
74,gen_control,4,positive,8,G   I   K   M
74,gen,6,positive,9,P   A   N   D
74,gen,6,negative,6,B   O   L   F
74,ec,7,negative,8,J   O   R   B
74,gen_control,3,positive,10,K   M   I   X
74,gen,5,negative,8,F   R   O   B
74,gen,4,negative,10,F   O   R   B
74,gen_control,2,negative,11,Z   E   V   T
74,gen,3,negative,8,L   O   B   F
74,ec,4,positive,10,P   A   W   S
74,gen,2,negative,6,B   R   O   L
74,gen,8,negative,4,F   L   O   R
74,ec,6,positive,4,W   A   D   S
74,gen,2,positive,7,N   A   P   S
74,ec,2,negative,5,L   O   R   B
74,gen_control,1,negative,9,V   E   H   T
74,ec,8,negative,5,B   L   O   F
74,ec_control,2,negative,7,H   Y   V   Z
74,gen_control,2,positive,10,M   U   G   X
74,ec,8,positive,10,D   A   N   S
74,ec,3,positive,11,S   P   A   D
74,ec,6,negative,8,F   R   O   L
74,ec_control,1,negative,7,T   E   H   V
