subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
51,gen,8,positive,17,F   O   R   B
51,gen_control,1,positive,6,V   E   H   T
51,gen,8,negative,19,N   A   P   S
51,ec,5,positive,8,F   R   O   L
51,ec,7,positive,17,J   O   L   F
51,ec,6,positive,5,B   R   O   L
51,gen,4,negative,9,P   A   N   D
51,ec,1,negative,8,D   A   P   S
51,ec,4,positive,17,F   R   O   B
51,gen,6,positive,17,L   O   R   B
51,gen_control,4,negative,3,G   I   K   M
51,gen_control,2,negative,17,M   U   G   X
51,ec,4,negative,3,W   A   D   S
51,ec_control,2,positive,10,H   Y   V   Z
51,ec_control,1,negative,3,G   M   U   X
51,ec,8,positive,15,B   O   L   F
51,gen,7,negative,9,S   W   A   P
51,ec,5,negative,10,W   A   P   S
51,gen,5,positive,2,B   O   R   F
51,gen_control,3,negative,9,K   M   I   X
51,ec,6,negative,0,S   P   A   D
51,gen_control,1,negative,8,K   U   M   X
51,gen_control,4,positive,18,H   Y   T   V
51,gen,7,positive,3,B   R   O   F
51,gen,5,negative,3,S   P   A   W
51,gen_control,2,positive,4,Z   E   V   T
51,gen_control,3,positive,19,T   V   Y   Z
51,gen,4,positive,15,L   O   B   F
51,gen,6,negative,7,P   A   N   S
51,gen,1,positive,14,B   L   O   F
51,gen,2,positive,16,J   O   R   F
51,ec,3,positive,12,F   L   O   R
51,gen,3,positive,5,B   O   R   L
51,ec,8,negative,13,D   W   A   P
51,ec,7,negative,3,S   N   A   W
51,ec,2,negative,8,D   A   N   S
51,gen,1,negative,19,P   A   W   S
51,ec,1,positive,7,B   L   O   R
51,ec_control,1,positive,12,T   E   H   V
51,gen,3,negative,9,W   A   N   S
51,ec,3,negative,5,S   W   A   D
51,ec,2,positive,16,J   O   R   B
51,gen,2,negative,10,S   N   A   D
51,ec_control,2,negative,19,K   I   G   M
