subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
54,ec,7,negative,17,L   E   M   K
54,gen,1,negative,18,C   L   E   K
54,ec,4,positive,19,T   U   N   G
54,gen_control,4,negative,19,B   I   R   F
54,ec,6,positive,13,G   U   N   D
54,ec,3,positive,1,G   N   U   D
54,gen_control,3,negative,0,J   I   B   F
54,ec,8,positive,4,D   U   G   T
54,gen,8,positive,18,G   U   T   Z
54,gen,1,positive,1,T   N   U   D
54,gen,5,positive,16,Z   U   N   T
54,gen,6,negative,16,C   H   E   K
54,gen_control,1,positive,0,S   P   Y   V
54,gen,4,positive,0,D   N   U   G
54,ec,3,negative,18,K   L   E   H
54,gen_control,4,positive,1,P   S   A   V
54,gen_control,2,positive,0,S   W   Y   P
54,gen,2,positive,17,Z   U   N   D
54,gen,7,positive,3,N   U   G   Z
54,ec,7,positive,16,D   U   T   Z
54,ec,5,positive,16,D   U   N   T
54,gen_control,3,positive,17,W   A   P   S
54,ec_control,1,positive,17,V   A   S   P
54,ec,2,negative,17,M   E   H   K
54,gen,7,negative,17,M   E   C   H
54,ec_control,2,positive,2,P   Y   W   S
54,gen,3,negative,12,H   E   L   K
54,ec,5,negative,19,K   E   C   H
54,gen,5,negative,17,C   L   E   M
54,gen,8,negative,17,K   L   E   M
54,ec,4,negative,16,C   H   E   L
54,ec,1,negative,17,K   E   L   M
54,gen_control,1,negative,17,F   O   R   B
54,gen,4,negative,16,C   E   L   K
54,ec,8,negative,17,K   E   H   M
54,gen,6,positive,3,Z   U   D   T
54,ec_control,2,negative,15,F   R   I   B
54,gen,2,negative,17,C   E   L   M
54,ec,6,negative,14,H   E   M   K
54,ec_control,1,negative,18,J   O   R   F
54,ec,1,positive,18,Z   U   N   G
54,gen,3,positive,18,G   U   N   T
54,gen_control,2,negative,5,B   J   O   F
54,ec,2,positive,2,T   U   G   Z
