subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
24,ec_control,1,negative,6,J   O   R   F
24,ec,3,negative,9,N   U   G   Z
24,gen,8,positive,9,K   E   L   M
24,ec,5,positive,9,L   E   M   K
24,ec,2,negative,9,Z   U   D   T
24,gen,5,positive,11,C   H   E   K
24,gen,8,negative,11,Z   U   N   D
24,ec_control,1,positive,12,V   A   S   P
24,gen_control,1,positive,11,S   P   Y   V
24,gen,6,negative,9,T   U   N   G
24,gen_control,2,positive,9,S   W   Y   P
24,gen,2,positive,10,C   L   E   M
24,ec,4,positive,9,H   E   L   K
24,gen,4,positive,10,K   L   E   M
24,ec,1,negative,12,G   U   T   Z
24,gen,7,positive,9,K   E   H   M
24,gen,2,negative,13,G   U   N   T
24,ec,8,positive,9,C   E   L   M
24,ec_control,2,negative,4,F   R   I   B
24,ec,6,negative,9,T   N   U   D
24,ec,3,positive,9,C   H   E   L
24,gen_control,3,positive,13,W   A   P   S
24,gen_control,3,negative,7,J   I   B   F
24,gen,7,negative,7,D   N   U   G
24,ec,7,negative,11,D   U   T   Z
24,gen_control,4,positive,9,P   S   A   V
24,ec_control,2,positive,13,P   Y   W   S
24,gen,6,positive,9,K   L   E   H
24,ec,8,negative,9,D   U   N   T
24,gen,1,negative,11,Z   U   N   T
24,ec,4,negative,10,G   N   U   D
24,ec,7,positive,9,C   L   E   K
24,ec,2,positive,9,C   E   L   K
24,gen,4,negative,10,Z   U   N   G
24,gen_control,4,negative,9,B   I   R   F
24,ec,6,positive,12,H   E   M   K
24,gen_control,1,negative,6,F   O   R   B
24,gen,1,positive,9,K   E   C   H
24,ec,5,negative,10,G   U   N   D
24,ec,1,positive,11,M   E   C   H
24,gen,3,negative,8,T   U   G   Z
24,gen,3,positive,9,M   E   H   K
24,gen_control,2,negative,9,B   J   O   F
24,gen,5,negative,8,D   U   G   T
