subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
12,ec,3,negative,17,S   W   A   D
12,gen_control,1,negative,12,V   E   H   T
12,gen,6,positive,6,B   O   R   L
12,ec,1,positive,10,B   L   O   R
12,gen_control,3,positive,11,K   M   I   X
12,gen,4,positive,3,B   R   O   L
12,gen,3,negative,4,S   P   A   D
12,gen_control,2,negative,1,Z   E   V   T
12,gen,7,positive,4,F   L   O   R
12,ec,3,positive,11,F   R   O   B
12,gen,2,positive,7,F   O   R   B
12,gen,8,positive,15,J   O   L   F
12,ec_control,1,positive,4,G   M   U   X
12,ec,4,negative,10,S   N   A   W
12,gen_control,2,positive,0,M   U   G   X
12,ec_control,2,positive,6,K   I   G   M
12,gen_control,3,negative,2,T   V   Y   Z
12,gen,2,negative,3,P   A   W   S
12,gen,1,negative,7,W   A   P   S
12,gen_control,4,negative,6,H   Y   T   V
12,gen,4,negative,10,N   A   P   S
12,gen,6,negative,8,W   A   D   S
12,ec,7,positive,8,L   O   B   F
12,gen,3,positive,9,L   O   R   B
12,gen,5,positive,6,B   R   O   F
12,ec,8,negative,6,D   A   P   S
12,gen,8,negative,11,S   W   A   P
12,ec,6,positive,12,J   O   R   B
12,ec_control,2,negative,2,H   Y   V   Z
12,ec,2,negative,3,W   A   N   S
12,gen,7,negative,13,D   W   A   P
12,ec,1,negative,9,P   A   N   S
12,ec_control,1,negative,10,T   E   H   V
12,ec,8,positive,11,F   R   O   L
12,gen_control,1,positive,12,K   U   M   X
12,ec,7,negative,6,D   A   N   S
12,ec,5,negative,10,S   N   A   D
12,gen_control,4,positive,9,G   I   K   M
12,gen,1,positive,15,B   O   L   F
12,gen,5,negative,2,P   A   N   D
12,ec,2,positive,12,J   O   R   F
12,ec,6,negative,7,S   P   A   W
12,ec,4,positive,7,B   O   R   F
12,ec,5,positive,10,B   L   O   F
