ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
120	Cologne	Schmerz	white2.bmp	Bob	schrieb Briefe an einen Bundestagsabgeordneten, der sich für Gleichberechtigung einsetzte	pos	c	Correct	6.419561	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Abfall	white2.bmp	Bob	half bei einem Bewegungsprogramm für behinderte Kinder	pos	c	Correct	2.894904	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Schmerz	white2.bmp	Bob	klaute ein Buch von dem Buchladen der Universität	neg	u	Correct	2.651823	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Verletzung	white2.bmp	Bob	verfasste ein Manuskript für einen Freund	pos	u	False	3.561709	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Tod	white2.bmp	Bob	ließ eine ältere Person in der Kassenschlange vor	pos	c	Correct	2.949632	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Spinne	white2.bmp	Bob	schloss die Haustür eines Nachbarn, als dieser sie aus Versehen aufgelassen hatte	pos	c	Correct	3.361617	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Hässlich	white2.bmp	Bob	raubte einen Supermarkt aus	neg	u	Correct	1.269226	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Verletzung	white2.bmp	Bob	fand ein teures Portemonnaie auf der Straße und inserierte eine Anzeige in der Zeitung, um den Besitzer zu finden	pos	c	Correct	5.199781	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Verletzung	white2.bmp	Bob	machte seinen Sitz für eine ältere Person im Bus frei	pos	c	Correct	2.865929	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Spinne	white2.bmp	Bob	brachte Marihuana über die Grenze, um es an Schüler zu verkaufen	neg	u	Correct	2.759869	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Krieg	white2.bmp	Bob	pflanzte Tomaten und Gurken in einem kleinem Garten hinter seinem Haus	pos	c	Correct	2.931715	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Spinne	white2.bmp	Bob	lachte, als ein Kind von einem Baum fiel	neg	u	Correct	1.744000	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Verletzung	white2.bmp	Bob	weigerte sich einem Freund ein Buch auszuleihen, welches dieser für eine Hausarbeit brauchte	neg	u	Correct	3.905637	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Hölle	white2.bmp	Bob	bezahlte einen Mann dafür seine Frau zu beobachten	neg	u	Correct	3.479883	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Schmerz	white2.bmp	Bob	überzeugte seinen Boss einen Angestellten zu feuern, weil dieser zu spät zur Arbeit kam	neg	u	Correct	3.736073	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Hölle	white2.bmp	Bob	drehte das Radio mitten in der Nacht auf einem Campingplatz  auf volle Lautstärke	neg	u	Correct	3.794456	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	﻿Leiche	white2.bmp	Bob	kaufte Artikel in einem Discounter und gab sie in einem anderen Laden mit höheren Preisen für Rückgeld zurück	neg	u	Correct	6.106496	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Tod	white2.bmp	Bob	musste 500 € Strafe zahlen, weil er seinen Müll in einem Nationalpark auf den Boden warf	neg	u	Correct	3.050654	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Hölle	white2.bmp	Bob	erschoss einen Singvogel mit seinem Gewehr	neg	u	Correct	2.017971	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Hässlich	white2.bmp	Bob	weigerte sich die Zigarette auszumachen, obwohl ihn mehrere Leute in einem vollen Bus darum baten	neg	u	Correct	5.077089	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Abfall	white2.bmp	Bob	meldete sich bei der Arbeit krank als es ihm gut ging	neg	u	Correct	3.772395	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Verletzung	white2.bmp	Bob	fuhr unter Alkoholeinfluss in ein geparktes Auto 	neg	u	Correct	2.473516	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Hölle	white2.bmp	Bob	bedrohte einige Menschen mit einem Gewehr, weil sie unerlaubt sein Grundstück betreten hatten.	neg	u	Correct	3.109011	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Schmerz	white2.bmp	Bob	erschien nicht als wichtiger Zeuge in einem Drogenfall, in dem ein Freund involviert war	neg	u	Correct	6.230532	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Schmerz	white2.bmp	Bob	arbeitet 40 Stunden in der Woche, um sich sein Studium selbst zu finanzieren	pos	c	Correct	2.970102	1	1	pos	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Verletzung	white2.bmp	Bob	rauchte absichtlich, obwohl er im Nichtraucherbereich des Theaters war	neg	u	Correct	3.616924	1	1	neg	methexp32	2018-02-01_13.59.53.370000
120	Cologne	Abfall	white2.bmp	Bob	schrie eine Bedienung an zu langsam zu sein	neg	u	Correct	2.041726	1	1	neg	methexp32	2018-02-01_13.59.53.370000
