ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
114	Cologne	Hölle	white1.bmp	Bob	betrank sich und schubste ein siebenjähriges Mädchen	neg	c	False	5.524415	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Gestank	white1.bmp	Bob	﻿raste zerstreut über eine rote Ampel an einer Kreuzung und knallte in die Seite eines Autos	neg	u	Correct	5.062404	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Tod	white1.bmp	Bob	kämpfte gegen ein diskriminierendes Gesetz, welches es Minderheiten erschwerte Wohnungen zu mieten	pos	c	Correct	4.309242	1	1	pos	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Schmerz	white1.bmp	Bob	stahl Geld und Schmuck von Verwandten, bei denen er wohnte	neg	u	Correct	2.581722	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Abfall	white1.bmp	Bob	half einem Nachbarskind ein Bild zu malen	pos	u	False	3.230694	1	1	pos	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Krieg	white1.bmp	Bob	half Freunden beim Umzug in das neue Haus	pos	c	Correct	1.945711	1	1	pos	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Tod	white1.bmp	Bob	warf auf einer Party einen Stuhl durchs Fenster	neg	u	Correct	2.980614	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Schmerz	white1.bmp	Bob	fuhr eine weite Strecke um seine Eltern zu besuchen	pos	c	Correct	3.921784	1	1	pos	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Hässlich	white1.bmp	Bob	musste 500 € Strafe zahlen, weil er seinen Müll in einem Nationalpark auf den Boden warf	neg	u	Correct	3.690766	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Spinne	white1.bmp	Bob	löste einen Feueralarm als Scherz aus	neg	c	False	4.270006	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Schmerz	white1.bmp	Bob	fuhr einen Hund auf der Straße an und fuhr weiter, ohne dem Besitzer Bescheid zu sagen	neg	u	Correct	5.737534	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Gestank	white1.bmp	Bob	lieh sich einige Unterlagen von einem Bekannten und gab sie nie zurück	neg	u	Correct	3.360234	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	﻿Leiche	white1.bmp	Bob	fand eine gute Armbanduhr im Park und verkaufte sie	neg	u	Correct	3.824287	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Hölle	white1.bmp	Bob	half einem Patienten im Rollstuhl auf eine Rampe	pos	c	Correct	3.411597	1	1	pos	methexp32	2018-02-01_10.26.10.522000
114	Cologne	Gestank	white1.bmp	Bob	macht Anhänger von Minderheiten, die er kennt, herunter 	neg	u	Correct	4.941275	1	1	neg	methexp32	2018-02-01_10.26.10.522000
114	Cologne	﻿Leiche	white1.bmp	Bob	sagt immer guten Morgen mit einem großen Lächeln im Gesicht	pos	c	Correct	5.622464	1	1	pos	methexp32	2018-02-01_10.26.10.522000
114	Cologne	﻿Leiche	white1.bmp	Bob	klaute ein Buch von dem Buchladen der Universität	neg	u	Correct	2.826280	1	1	neg	methexp32	2018-02-01_10.26.10.522000
