ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
124	Cologne	Kuss	white5.bmp	Bob	passte auf die Haustiere seines Nachbarns auf, während dieser weg war	pos	u	Correct	4.396630	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	ließ jemand anderen eine Hausarbeit für sich schreiben	neg	c	Correct	2.984239	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	meldete nicht bei der Polizei, dass ein Nachbar seine Frau schlug	neg	u	False	2.838901	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	﻿leistete erste Hilfe für das Opfer eines Unfalles mit Fahrerflucht bis der Krankenwagen kam	pos	c	False	2.605336	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	trickste eine Hausfrau aus, indem sie Geld für eine Magazinbestellung bezahlte, welche es gar nicht gab	neg	c	Correct	4.048256	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	machte einem Freund das Leben schwer, indem er ablenkende und irrelevante Fragen stellte	neg	u	False	4.068086	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	half einem Freund seine Wohnung neu zu streichen	pos	u	Correct	1.628791	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	nahm eine Familie bei sich auf, die ihr Zuhause durch einen Brand verloren hatte	pos	u	Correct	2.995125	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	arbeitet 40 Stunden in der Woche, um sich sein Studium selbst zu finanzieren	pos	u	Correct	2.284927	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	stahl Geld und Schmuck von Verwandten, bei denen er wohnte	neg	c	Correct	1.780396	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	klaute ein teures Paar Sportschuhe aus einem Turnhallenspind	neg	c	Correct	1.759144	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	schlug einer Frau die Einkaufstüte aus den Armen, als er die Straße runter rannte	neg	c	Correct	2.175481	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	fuhr mit seinem Auto mit 110 km/h durch ein Wohngebiet um seine Freundin zu beeindrucken	neg	c	Correct	2.439133	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	bedrohte einige Menschen mit einem Gewehr, weil sie unerlaubt sein Grundstück betreten hatten.	neg	c	Correct	2.712440	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	betrank sich und beleidigte jeden auf einer Cocktailparty	neg	c	Correct	1.834037	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	fuhr mit seinem Fahrrad jeden Tag zur Arbeit um die Umweltverschmutzung und den Benzinverbrauch zu verringern	pos	u	Correct	2.263822	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	lachte, als ein Kind von einem Baum fiel	neg	c	Correct	1.535431	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	fuhr mit seinem Auto über ein Kinderfahrrad	neg	c	Correct	2.087816	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	meldete einer Ski-Patrouille, dass sein Freund nicht rechtzeitig von einer Skitour im Gelände zurückgekehrt war	pos	u	Correct	6.028809	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	meldete sich freiwillig, um in einer Tagesklinik zu arbeiten	pos	u	Correct	1.926090	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	brachte einem Nachbarskind das Fahrradfahren bei	pos	u	Correct	2.035334	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	raubte einen Supermarkt aus	neg	c	Correct	2.221283	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	kaufte seinen Eltern zum 25. Hochzeitstag Flugtickets für einen Ausflug nach Hawaii	pos	u	Correct	2.346504	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	liest einem blinden Freund regelmäßig vor	pos	u	Correct	2.016243	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	half einem Kind den Weg nach Hause zu finden, nachdem sich dieses verlaufen hatte	pos	u	Correct	2.238947	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	schenkt seiner Mutter Blumen	pos	u	Correct	1.421707	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	machte seine Zigarette in einem Gebäude aus, als er das Nichtraucher Schild entdeckt hatte	pos	u	Correct	3.427674	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	musste 500 € Strafe zahlen, weil er seinen Müll in einem Nationalpark auf den Boden warf	neg	c	Correct	2.353364	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	ließ eine ältere Person in der Kassenschlange vor	pos	u	Correct	2.014301	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	macht sich in der Öffentlichkeit über lesbische Personen lustig	neg	c	Correct	2.007113	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	weigerte sich eine Petition für die Verbesserung eines Spielplatzes für Schulkinder zu unterschreiben	neg	c	Correct	3.250132	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	ruft den Tierschutz an, als er ein verletztes Tier bemerkt	pos	u	Correct	2.066920	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	schrie eine Bedienung an zu langsam zu sein	neg	c	Correct	1.894243	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	sagte einem jungen Kind, das im Schmutz spielte, dass es dumm sei und zu jung, um es besser zu wissen	neg	c	Correct	3.215918	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	half einem Patienten im Rollstuhl auf eine Rampe	pos	u	Correct	1.976498	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	opferte eine beträchtliche Zeit für ehrenamtlichen Unterricht von benachteiligten Schülern in Mathe und Englisch	pos	u	Correct	2.883427	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	sagt immer guten Morgen mit einem großen Lächeln im Gesicht	pos	u	Correct	1.830778	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	schickte seiner Mutter zum Muttertag Blumen	pos	u	Correct	1.744785	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	veranstaltete eine Überraschungsparty zum Geburtstag seines Vaters	pos	u	Correct	1.793506	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	vergisst nicht, jeden morgen die Vögel zu füttern	pos	u	Correct	6.528420	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	tat so, als ob er die Bitte einer Frau nicht hören würde, ihr beim Hochheben ihres Kinderwagens an einer hohen Bordsteinkante zu helfen	neg	c	Correct	3.765996	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	spendete etwas seines Gehalts für Lebensmittel für eine benachteiligte Familie	pos	u	Correct	1.899029	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	half einem Freund bei dessen Umzug in eine Wohnung	pos	u	Correct	1.765020	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	machte seinen Sitz für eine ältere Person im Bus frei	pos	u	Correct	1.983965	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	schreibt seinen Eltern mindestens alle zwei Wochen	pos	u	Correct	2.261606	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	ignorierte Hilferufe auf der Skipiste, indem er zu schnell vorbeifuhr um anzuhalten	neg	u	False	2.698108	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	rettete ein Kind vor einem näherkommenden Auto	pos	u	Correct	3.404624	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	stahl die Handtasche einer älteren Frau, die sie im Bus abgestellt hatte	neg	c	Correct	2.401029	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	gibt all seinen Freunden in der Bar ein Getränk aus	pos	u	Correct	2.930899	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	baute ein Bücherregal für seine neue Wohnung	pos	u	Correct	3.356912	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	wurde ehrenamtlich Basketballtrainer in einem Kinderheim	pos	u	Correct	1.980085	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	machte lautstark rassistische Äußerungen gegenüber seinen Freunden in einer Bar	neg	c	Correct	2.113243	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	fand ein teures Portemonnaie auf der Straße und inserierte eine Anzeige in der Zeitung, um den Besitzer zu finden	pos	u	Correct	3.457855	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	ließ den Herd an, als er das Haus verließ	neg	u	False	3.811712	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	bewahrt Dosen und Flaschen zum Recyceln auf	pos	u	Correct	2.905386	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	schummelte während eines Pokerspiels	neg	c	Correct	1.622955	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	verbeulte ein anderes Auto auf dem Parkplatz und weigerte sich seinen Namen zu hinterlassen	neg	c	Correct	3.088180	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	meldete sich bei der Arbeit krank als es ihm gut ging	neg	c	Correct	2.803270	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	schlug sein Kind, weil es ein Glas Milch verschüttet hatte	neg	c	Correct	3.323525	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	fuhr auf den Seitenstreifen der Autobahn, um einem Fahrer zu helfen, dessen Auto liegengeblieben war	pos	u	Correct	2.817045	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	fuhr eine weite Strecke um seine Eltern zu besuchen	pos	u	Correct	2.735087	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	verspottete seine Freundin auf einer Party	neg	c	Correct	2.814376	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	wurde verhaftet weil er mit 500 € gefälschtem Geld bezahlte	neg	c	Correct	2.576979	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	half einer Tafel an Weihnachten, Weihnachtsgänse an bedürftige Familien zu verteilen	pos	u	Correct	3.188531	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	warf auf einer Party einen Stuhl durchs Fenster	neg	c	Correct	1.740695	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	beharrte, dass er ein Ticket für einen Sitzplatz bei einem Basketballspiel habe, obwohl er wusste, dass der Sitz nicht wirklich seiner war 	neg	c	Correct	4.433979	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	fertigte einen Lampenschirm aus Buntglas als Hochzeitsgeschenk für seine Schwester an	pos	u	Correct	3.496009	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	ließ kleine Kinder in seinem Obstgarten spielen, weil kein Park in der Nähe war	pos	u	Correct	2.779510	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	eilte jemandem zur Hilfe, der vom Fahrrad gefallen war	pos	u	Correct	2.289613	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	wurde für das Angreifen seiner Frau inhaftiert	neg	c	Correct	2.798021	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	machte die Gitarre seines Freundes kaputt, weil er sauer war	neg	c	Correct	2.425830	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	adoptierte kleine Kinder und erzog sie, als ob es seine eigenen Kinder gewesen wären	pos	u	Correct	3.073314	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	stand an einer Straßenecke und beleidigte Menschen, die an der Ecke vorbei liefen	neg	c	Correct	2.840777	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	lieh sich einige Unterlagen von einem Bekannten und gab sie nie zurück	neg	c	Correct	3.427421	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	trat seinen Hund, als dieser übrigen Käse von der Tischkante aß	neg	c	Correct	2.496332	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	drehte das Radio mitten in der Nacht auf einem Campingplatz  auf volle Lautstärke	neg	c	Correct	2.809184	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	erzählte eine Lüge über seinen Freund	neg	c	Correct	1.944999	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	schrie einen achtjährigen Jungen an, der mit seinem Fahrrad auf dem Bürgersteig fuhr	neg	c	Correct	2.368818	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	﻿raste zerstreut über eine rote Ampel an einer Kreuzung und knallte in die Seite eines Autos	neg	c	Correct	3.432860	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	kaufte Lebensmittel für eine ältere Frau von nebenan, die krank war	pos	u	Correct	3.087345	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	pflanzte Tomaten und Gurken in einem kleinem Garten hinter seinem Haus	pos	u	Correct	2.591065	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	drängelte sich an der Warteschlange eines Kinos vor	neg	c	Correct	2.116215	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Lächeln	white5.bmp	Bob	verlangte zu viel Geld von Kunden, die Benzin an einer Tankstelle kauften	neg	c	Correct	2.607444	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	sagt der Eigentümerin eines kleines Ladens, dass sie ihm zu viel Wechselgeld gegeben hat	pos	u	Correct	3.402902	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	﻿Blume	white5.bmp	Bob	hob kleine Küken auf, die aus einem Nest gefallen waren und ernährte sie, bis sie erwachsen waren	pos	u	Correct	4.021926	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	ging ins Krankenhaus, um seine Nachbarn zu besuchen	pos	u	Correct	2.957131	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	betrank sich und schubste ein siebenjähriges Mädchen	neg	c	Correct	2.416095	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Glücklich	white5.bmp	Bob	brachte Marihuana über die Grenze, um es an Schüler zu verkaufen	neg	c	Correct	3.090290	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kätzchen	white5.bmp	Bob	half einem ausländischen Stundenten eine Wohnung zu finden	pos	u	Correct	2.568959	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	sagt denen, die ihm nahe stehen, dass er sie liebt	pos	u	Correct	2.614223	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	zapfte Benzin von einem parkenden Auto ab	neg	c	Correct	2.029922	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	arbeitete zwei Jahre in einem Stripclub in einem Armenviertel von Chicago	neg	u	False	2.986205	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Welpe	white5.bmp	Bob	klaute Büroartikel von seiner Arbeit	neg	c	Correct	2.692605	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	verängstigte ein paar kleine Kinder auf ihren Fahrrädern, indem er drohte sie zu überfahren	neg	c	Correct	2.514005	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Freund	white5.bmp	Bob	gab 20 € an eine Hilfsorganisation	pos	u	Correct	1.549885	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Party	white5.bmp	Bob	verunstaltete einen großen Felsen in einem öffentlichen Park mit Sprühfarbe	neg	c	Correct	4.468685	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Geschenk	white5.bmp	Bob	schummelte in einer Klausur, die zuhause bearbeitet werden sollte	neg	c	Correct	2.425319	1	2	neg	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	half bei einem Bewegungsprogramm für behinderte Kinder	pos	u	Correct	2.093857	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hübsch	white5.bmp	Bob	arbeitet einen Tag in der Woche ehrenamtlich in einer Kindertagesstätte	pos	u	Correct	2.613227	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Kuss	white5.bmp	Bob	schloss die Haustür eines Nachbarn, als dieser sie aus Versehen aufgelassen hatte	pos	u	Correct	4.017663	1	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Abfall	white5.bmp	Bob	half einem Freund schwimmen zu lernen	pos	u	False	3.180637	2	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Krieg	white5.bmp	Bob	half seiner Frau nach einem Abendessen mit Freunden das Geschirr zu spülen	pos	c	Correct	2.347678	2	2	pos	methexp32	2018-02-02_10.01.33.992000
124	Cologne	Hölle	white5.bmp	Bob	repariert über das Wochenende das Fahrrad eines Kindes	pos	c	Correct	1.293934	2	2	pos	methexp32	2018-02-02_10.01.33.992000
