US	CS	Time	
MereExpo	Aero04	172	
DisIAPS3	Water3	172	
FeaRaFD3	Aero07	260	
DisIAPS2	Aero05	260	
MereExpo	Water4	172	
DisRaFD4	Water8	172	
DisIAPS5	Water3	172	
FeaRaFD2	Water2	260	
US2Motivation	Aero0Motivation	177	
USMotivation	WaterMotivation	177	
DisIAPS1	Water3	172	
DisIAPS1	Aero05	260	
DisIAPS3	Aero08	172	
MereExpo	Aero04	172	
MereExpo	Water4	172	
MereExpo	Aero02	260	
MereExpo	Water6	260	
DisRaFD5	Water1	260	
DisIAPS4	Water5	260	
DisRaFD2	Aero01	260	
FeaRaFD2	Aero07	260	
FeaRaFD1	Water2	260	
US2Motivation	Aero0Motivation	177	
FeaRaFD4	Water2	260	
FeaRaFD5	Aero03	172	
FeaRaFD2	Aero03	172	
US2Motivation	Aero0Motivation	177	
FeaRaFD4	Aero07	260	
DisRaFD5	Water8	172	
MereExpo	Aero02	260	
DisRaFD4	Water1	260	
DisRaFD2	Aero06	172	
MereExpo	Aero04	172	
USMotivation	WaterMotivation	177	
DisRaFD5	Aero06	172	
MereExpo	Water6	260	
USMotivation	WaterMotivation	177	
FeaRaFD4	Water7	172	
DisRaFD3	Water1	260	
DisIAPS5	Aero05	260	
DisIAPS1	Aero08	172	
MereExpo	Aero04	172	
FeaRaFD4	Aero03	172	
DisRaFD1	Aero06	172	
USMotivation	WaterMotivation	177	
FeaRaFD3	Aero03	172	
DisRaFD5	Aero01	260	
DisIAPS2	Water3	172	
DisIAPS5	Water5	260	
MereExpo	Water4	172	
FeaRaFD3	Water7	172	
MereExpo	Water6	260	
FeaRaFD5	Water2	260	
FeaRaFD1	Aero03	172	
FeaRaFD5	Water7	172	
US2Motivation	Aero0Motivation	177	
DisRaFD3	Water8	172	
MereExpo	Aero02	260	
FeaRaFD1	Aero07	260	
DisRaFD4	Aero06	172	
FeaRaFD2	Water7	172	
DisRaFD3	Aero01	260	
DisRaFD3	Aero06	172	
DisIAPS4	Aero05	260	
MereExpo	Aero04	172	
DisIAPS3	Aero05	260	
USMotivation	WaterMotivation	177	
DisRaFD2	Water1	260	
DisRaFD4	Aero01	260	
DisRaFD2	Water8	172	
MereExpo	Aero02	260	
DisRaFD1	Water1	260	
DisIAPS1	Water5	260	
DisRaFD1	Aero01	260	
MereExpo	Aero02	260	
DisIAPS2	Water5	260	
FeaRaFD5	Aero07	260	
MereExpo	Water4	172	
US2Motivation	Aero0Motivation	177	
DisRaFD1	Water8	172	
DisIAPS5	Aero08	172	
DisIAPS4	Aero08	172	
DisIAPS4	Water3	172	
FeaRaFD1	Water7	172	
MereExpo	Water4	172	
DisIAPS2	Aero08	172	
DisIAPS3	Water5	260	
FeaRaFD3	Water2	260	
MereExpo	Water6	260	
MereExpo	Water6	260	
