US	CS	Time	
MereExpo	Water2	171	
DisRaFD1	Aero05	260	
DisRaFD5	Aero03	171	
MereExpo	Water7	260	
US2Motivation	Aero0Motivation	177	
DisRaFD3	Water5	171	
US2Motivation	Aero0Motivation	177	
DisIAPS1	Aero04	171	
MereExpo	Water7	260	
MereExpo	Water2	171	
DisIAPS1	Water3	260	
MereExpo	Aero07	171	
USMotivation	WaterMotivation	177	
DisIAPS5	Aero04	171	
MereExpo	Aero06	260	
MereExpo	Aero07	171	
DisRaFD2	Aero03	171	
DisIAPS4	Water6	171	
FeaRaFD3	Water4	260	
DisRaFD1	Water1	260	
FeaRaFD4	Water4	260	
DisIAPS4	Aero04	171	
FeaRaFD1	Water8	171	
MereExpo	Water2	171	
DisIAPS5	Water3	260	
DisRaFD3	Aero05	260	
FeaRaFD5	Aero08	171	
FeaRaFD4	Water8	171	
FeaRaFD5	Water4	260	
MereExpo	Water7	260	
DisIAPS1	Water6	171	
FeaRaFD1	Aero08	171	
DisRaFD1	Water5	171	
FeaRaFD4	Aero08	171	
DisRaFD2	Aero05	260	
USMotivation	WaterMotivation	177	
DisRaFD5	Water5	171	
FeaRaFD1	Water4	260	
FeaRaFD5	Aero02	260	
US2Motivation	Aero0Motivation	177	
USMotivation	WaterMotivation	177	
DisIAPS3	Water3	260	
FeaRaFD3	Aero08	171	
MereExpo	Aero06	260	
MereExpo	Aero06	260	
MereExpo	Aero07	171	
FeaRaFD4	Aero02	260	
DisRaFD3	Water1	260	
DisIAPS4	Water3	260	
FeaRaFD3	Water8	171	
MereExpo	Aero07	171	
US2Motivation	Aero0Motivation	177	
DisIAPS3	Aero01	260	
DisRaFD4	Aero03	171	
DisRaFD4	Water5	171	
DisIAPS2	Aero01	260	
MereExpo	Water7	260	
DisIAPS2	Aero04	171	
DisIAPS2	Water6	171	
DisRaFD4	Water1	260	
FeaRaFD2	Water8	171	
MereExpo	Aero06	260	
DisRaFD1	Aero03	171	
DisIAPS3	Water6	171	
DisRaFD2	Water1	260	
DisRaFD2	Water5	171	
DisRaFD5	Aero05	260	
DisRaFD5	Water1	260	
FeaRaFD2	Water4	260	
FeaRaFD2	Aero08	171	
MereExpo	Water2	171	
MereExpo	Aero06	260	
DisRaFD3	Aero03	171	
USMotivation	WaterMotivation	177	
DisRaFD4	Aero05	260	
DisIAPS1	Aero01	260	
DisIAPS5	Water6	171	
DisIAPS5	Aero01	260	
DisIAPS2	Water3	260	
US2Motivation	Aero0Motivation	177	
USMotivation	WaterMotivation	177	
DisIAPS3	Aero04	171	
MereExpo	Aero07	171	
FeaRaFD3	Aero02	260	
DisIAPS4	Aero01	260	
FeaRaFD2	Aero02	260	
MereExpo	Water7	260	
MereExpo	Water2	171	
FeaRaFD5	Water8	171	
FeaRaFD1	Aero02	260	
