US	CS	Time	
DisRaFD2	Aero01	260	
DisRaFD3	Water4	171	
DisRaFD1	Water6	260	
MereExpo	Water1	260	
FeaRaFD3	Aero04	171	
MereExpo	Water7	171	
DisRaFD3	Water6	260	
MereExpo	Water1	260	
US2Motivation	Aero0Motivation	177	
DisRaFD4	Aero06	171	
US2Motivation	Aero0Motivation	177	
FeaRaFD1	Water5	171	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero07	171	
DisIAPS4	Water8	171	
FeaRaFD1	Aero04	171	
FeaRaFD3	Water5	171	
DisRaFD4	Water6	260	
USMotivation	WaterMotivation	177	
DisRaFD2	Water4	171	
USMotivation	WaterMotivation	177	
DisRaFD5	Aero01	260	
USMotivation	WaterMotivation	177	
FeaRaFD2	Water2	260	
MereExpo	Water1	260	
DisRaFD1	Aero06	171	
DisIAPS2	Water3	260	
FeaRaFD4	Water2	260	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero02	260	
DisIAPS3	Aero05	171	
FeaRaFD4	Aero08	260	
DisIAPS4	Aero03	260	
DisIAPS1	Water3	260	
DisIAPS1	Water8	171	
DisRaFD2	Water6	260	
DisIAPS5	Water3	260	
DisIAPS1	Aero03	260	
MereExpo	Aero07	171	
DisIAPS4	Aero05	171	
DisIAPS3	Water8	171	
DisRaFD5	Aero06	171	
USMotivation	WaterMotivation	177	
DisIAPS5	Aero05	171	
FeaRaFD2	Aero08	260	
MereExpo	Aero02	260	
DisIAPS1	Aero05	171	
MereExpo	Aero02	260	
FeaRaFD2	Water5	171	
MereExpo	Water7	171	
FeaRaFD1	Water2	260	
DisIAPS3	Water3	260	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero02	260	
DisRaFD3	Aero06	171	
MereExpo	Aero07	171	
DisIAPS2	Water8	171	
FeaRaFD5	Aero04	171	
MereExpo	Aero02	260	
DisRaFD5	Water6	260	
DisIAPS4	Water3	260	
DisRaFD1	Aero01	260	
MereExpo	Aero07	171	
MereExpo	Water7	171	
FeaRaFD3	Aero08	260	
FeaRaFD5	Aero08	260	
MereExpo	Water7	171	
DisRaFD1	Water4	171	
MereExpo	Water7	171	
USMotivation	WaterMotivation	177	
DisIAPS3	Aero03	260	
DisRaFD4	Water4	171	
DisRaFD2	Aero06	171	
DisRaFD4	Aero01	260	
FeaRaFD2	Aero04	171	
DisRaFD5	Water4	171	
DisIAPS5	Water8	171	
FeaRaFD5	Water5	171	
MereExpo	Water1	260	
MereExpo	Aero07	171	
FeaRaFD4	Water5	171	
MereExpo	Water1	260	
FeaRaFD3	Water2	260	
DisIAPS2	Aero05	171	
FeaRaFD5	Water2	260	
DisIAPS5	Aero03	260	
FeaRaFD1	Aero08	260	
DisIAPS2	Aero03	260	
DisRaFD3	Aero01	260	
FeaRaFD4	Aero04	171	
