US	CS	Time	
DisRaFD2	Water6	172	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero03	172	
MereExpo	Aero03	172	
DisRaFD3	Aero08	260	
FeaRaFD3	Water7	172	
DisRaFD1	Aero08	260	
DisIAPS2	Water4	172	
MereExpo	Water1	172	
MereExpo	Water1	172	
MereExpo	Aero02	260	
DisRaFD5	Aero08	260	
DisIAPS3	Aero05	260	
FeaRaFD4	Water3	260	
DisRaFD4	Water5	260	
USMotivation	WaterMotivation	177	
DisIAPS1	Water8	260	
FeaRaFD3	Aero04	260	
MereExpo	Water1	172	
FeaRaFD5	Aero04	260	
FeaRaFD5	Water3	260	
DisIAPS4	Water4	172	
DisIAPS2	Water8	260	
FeaRaFD2	Water3	260	
FeaRaFD2	Aero07	172	
FeaRaFD2	Water7	172	
FeaRaFD1	Water7	172	
DisRaFD4	Aero08	260	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero03	172	
DisRaFD2	Aero06	172	
DisIAPS4	Water8	260	
DisRaFD5	Water5	260	
US2Motivation	Aero0Motivation	177	
DisIAPS5	Aero05	260	
DisRaFD3	Water5	260	
MereExpo	Aero02	260	
FeaRaFD4	Aero04	260	
DisRaFD4	Water6	172	
USMotivation	WaterMotivation	177	
US2Motivation	Aero0Motivation	177	
FeaRaFD4	Aero07	172	
MereExpo	Aero02	260	
DisIAPS1	Water4	172	
DisRaFD1	Water6	172	
DisRaFD3	Aero06	172	
MereExpo	Water2	260	
DisIAPS3	Water8	260	
DisIAPS1	Aero05	260	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero03	172	
MereExpo	Water1	172	
FeaRaFD1	Water3	260	
MereExpo	Water2	260	
DisIAPS2	Aero01	172	
MereExpo	Aero03	172	
MereExpo	Water2	260	
DisRaFD1	Water5	260	
USMotivation	WaterMotivation	177	
FeaRaFD1	Aero07	172	
MereExpo	Aero02	260	
USMotivation	WaterMotivation	177	
FeaRaFD4	Water7	172	
DisRaFD1	Aero06	172	
DisRaFD2	Water5	260	
DisIAPS1	Aero01	172	
FeaRaFD5	Water7	172	
DisRaFD4	Aero06	172	
DisIAPS5	Water8	260	
DisRaFD3	Water6	172	
DisIAPS2	Aero05	260	
DisIAPS3	Water4	172	
DisIAPS5	Aero01	172	
MereExpo	Water1	172	
FeaRaFD3	Water3	260	
MereExpo	Water2	260	
MereExpo	Aero02	260	
DisIAPS5	Water4	172	
FeaRaFD1	Aero04	260	
FeaRaFD3	Aero07	172	
DisIAPS3	Aero01	172	
DisRaFD5	Aero06	172	
DisRaFD5	Water6	172	
DisRaFD2	Aero08	260	
DisIAPS4	Aero01	172	
USMotivation	WaterMotivation	177	
FeaRaFD2	Aero04	260	
DisIAPS4	Aero05	260	
MereExpo	Water2	260	
FeaRaFD5	Aero07	172	
