ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
95	1	1	Water	FeaRaFD	171	labor2	2015-01-29_13.31.49.090000
95	8	2	Water	MereExp	171	labor2	2015-01-29_13.31.49.090000
95	6	3	Water	DisRaFD	171	labor2	2015-01-29_13.31.49.090000
95	4	4	Water	DisIAPS	171	labor2	2015-01-29_13.31.49.090000
95	3	1	Water	DisRaFD	230	labor2	2015-01-29_13.31.49.090000
95	7	2	Water	MereExp	230	labor2	2015-01-29_13.31.49.090000
95	2	3	Water	FeaRaFD	230	labor2	2015-01-29_13.31.49.090000
95	5	4	Water	DisIAPS	230	labor2	2015-01-29_13.31.49.090000
95	4	1	Aero0	FeaRaFD	171	labor2	2015-01-29_13.31.49.090000
95	2	2	Aero0	DisIAPS	171	labor2	2015-01-29_13.31.49.090000
95	8	3	Aero0	MereExp	171	labor2	2015-01-29_13.31.49.090000
95	6	4	Aero0	DisRaFD	171	labor2	2015-01-29_13.31.49.090000
95	7	1	Aero0	DisIAPS	230	labor2	2015-01-29_13.31.49.090000
95	5	2	Aero0	MereExp	230	labor2	2015-01-29_13.31.49.090000
95	3	3	Aero0	DisRaFD	230	labor2	2015-01-29_13.31.49.090000
95	1	4	Aero0	FeaRaFD	230	labor2	2015-01-29_13.31.49.090000
